parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Exciter_Type,stepped,Pluck,0,7,N/A,High,Low,"all","Changes core physics model",IL-MAN-01
Exciter_Amount,continuous,0.5,0,1,0.4-0.9,High,Med,"upbeat","Intensity of strike",IL-MAN-01
Exciter_Position,continuous,0.2,0,1,0.1-0.4,High,High,"moody, upbeat","Pluck point",IL-MAN-01
String_Damp,continuous,0.3,0,1,0.2-0.8,High,High,"moody, vibey","High frequency decay",IL-MAN-01
String_Decay,continuous,0.5,0,1,0.3-0.9,High,Med,"moody, psychedelic","Volume decay",IL-MAN-01
String_Tension,continuous,0,0,1,0-0.3,Med,Low,"upbeat","Initial pitch snap",IL-MAN-01
Interaction_Mix,continuous,1,0,1,0.5-1,Med,Med,"vibey, psychedelic","Balance S1/S2",IL-MAN-01
Interaction_Phasing,continuous,0,0,1,0.2-0.7,High,High,"psychedelic, vibey","Stereo width/phase",IL-MAN-01
Resonator_Resonance,continuous,0.4,0,1,0.3-0.7,High,Med,"moody, jazzy","Body hollow quality",IL-MAN-01
Resonator_Tuning,continuous,0.5,0,1,0.4-0.6,Med,Low,"all","Body resonance pitch",IL-MAN-01
Acoustics_Reverb_Mix,continuous,0.2,0,1,0.1-0.4,High,Med,"vibey, moody","Reverb level",IL-MAN-01
Acoustics_Delay_Mix,continuous,0,0,1,0.1-0.5,High,Med,"psychedelic","Delay level",IL-MAN-01
