parameter,type,default,min,max,suggested_range,audible_impact,mix_impact_tags,vibe_impact_tags,automation_common,notes,source_id
Voices,toggle,4,4,8,4 or 8,Determines chorus density and thickness,width density,all_vibes,Low,"4=Cleaner; 8=Maximum thickness; CPU impact increases with 8 voices",IL-MAN
Pad_1_X_Delay,vector_axis,40%,0%,100%,30-70%,Controls delay time: Short=tight Long=diffuse,depth transient,"moody=55% upbeat=45% psychedelic=70% jazzy=35% vibey=40%",Moderate,"Sweet spot: 40-60% for most sources; Short=Subtle Long=Echo-like",IL-MAN
Pad_1_Y_Feedback,vector_axis,20%,0%,100%,0-50%,Creates resonance and metallic character,brightness transient,"moody=15% upbeat=25% psychedelic=60% jazzy=10% vibey=20%",Moderate,"High values cause ringing; Keep under 50% for musical results; Use limiter when experimenting",IL-MAN
Pad_2_X_ModAmount,vector_axis,35%,0%,100%,20-70%,Controls detuning intensity,width movement,"moody=20% upbeat=50% psychedelic=85% jazzy=25% vibey=35%",High,"Low=Subtle ensemble High=Dramatic detuning; Lead vocals keep under 40%",IL-MAN
Pad_2_Y_ModRate,vector_axis,35%,0%,100%,15-60%,Controls LFO speed,movement,"moody=15% upbeat=55% psychedelic=70% jazzy=35% vibey=30%",Moderate,"Slow=Evolving texture Fast=Vibrato; Lead vocals keep slow",IL-MAN UNVERIFIED
Pad_3_X_PanAmount,vector_axis,30%,0%,100%,0-80%,Controls stereo movement intensity,width movement,"moody=10% upbeat=55% psychedelic=80% jazzy=15% vibey=30%",Moderate,"Amount without speed = static placement; Both needed for true auto-pan",IL-MAN
Pad_3_Y_PanSpeed,vector_axis,25%,0%,100%,15-65%,Controls stereo movement speed,movement,"moody=20% upbeat=50% psychedelic=65% jazzy=25% vibey=25%",High,"Slow=Drifting atmospheric Fast=Stereo tremolo",IL-MAN UNVERIFIED
HP_Filter,knob,150Hz,20Hz,5000Hz,100-400Hz,Removes lows from wet signal only,depth punch,"moody=300Hz upbeat=200Hz psychedelic=150Hz jazzy=125Hz vibey=150Hz",Low,"CRITICAL: Always engaged on bass sources; Prevents phase cancellation",IL-MAN SRC_REPUTABLE
LP_Filter,knob,100%,1000Hz,20000Hz,8000-20000Hz,Removes highs from wet signal only,brightness,"moody=9000Hz upbeat=20000Hz psychedelic=20000Hz jazzy=20000Hz vibey=12000Hz",Moderate,"Roll off for moody/dark applications; Full for bright/energetic",IL-MAN
Noise,knob,0%,0%,100%,0-15%,Adds white noise texture,brightness,"moody=8% upbeat=3% psychedelic=8% jazzy=0% vibey=10%",Low,"Adds analog character; 5-10% for lo-fi/warmth; 0% for clean",IL-MAN
Dry_Wet_Mix,knob,25%,0%,100%,15-50%,Blends dry and wet signals,width,"moody=25% upbeat=30% psychedelic=65% jazzy=20% vibey=30%",High,"Subtle=15-25% Noticeable=30-45% FX=50-100%; On sends use 100%",IL-MAN
Output_Gain,knob,0dB,-inf dB,+12dB,-6 to +6dB,Output level trim,loudness,all_vibes,Low,"Use for level matching when toggling effect; Not for volume boost",IL-MAN UNVERIFIED
