parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Freq_Ratio,continuous,1,0,128,0.5-8,High,Med,"all","Base frequency scaling",IL-MAN-09
FM_Amount,continuous,0,0,1,0.1-0.6,High,High,"upbeat, jazzy","FM intensity",IL-MAN-09
Filter_Cutoff,continuous,1,0,1,0.2-0.8,High,High,"moody, upbeat","Filter shaping",IL-MAN-09
Filter_Type,stepped,Vanilla,0,13,N/A,High,Low,"moody","Saturation model",IL-MAN-09
Unison_Voices,stepped,1,1,9,2-9,High,Low,"vibey","Thickness",IL-MAN-09
Unison_Detune,continuous,0.1,0,1,0.01-0.1,High,Med,"vibey, psychedelic","Spread",IL-MAN-09
Operator_Feedback,continuous,0,0,1,0.01-0.05,Med,Med,"upbeat, psychedelic","Self-modulation",IL-MAN-09
LFO_Depth,continuous,0,0,1,0.01-0.05,Med,High,"psychedelic, moody","Modulation depth",IL-MAN-09
Oversampling,stepped,2,1,64,4-16,High,Low,"all","Aliasing reduction",IL-MAN-09
Reverb_Mix,continuous,0,0,1,0.1-0.4,High,Med,"vibey, moody","Space",IL-MAN-09
