parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Osc1_Shape,stepped,Saw,0,5,N/A,High,Low,"all","Main tone source",IL-MAN-03
Osc1_Warm,toggle,OFF,0,1,N/A,High,Low,"vibey, upbeat","Doubles thickness",IL-MAN-03
Osc2_FineTune,continuous,0,-100,100,0-10,Med,Med,"vibey","Detuning for drift",IL-MAN-03
SVF_LP_Mix,continuous,1,0,1,0.5-1,High,Med,"moody, jazzy","Low-pass amount",IL-MAN-03
SVF_BP_Mix,continuous,0,0,1,0-0.5,High,Med,"psychedelic","Band-pass amount",IL-MAN-03
SVF_HP_Mix,continuous,0,0,1,0-0.5,High,Med,"vibey","High-pass amount",IL-MAN-03
Filter_Cutoff,continuous,0.5,0,1,0.2-0.8,High,High,"all","Filter shaping",IL-MAN-03
Filter_Resonance,continuous,0,0,1,0-0.5,Med,Med,"upbeat, psychedelic","Filter feedback",IL-MAN-03
Amp_Attack,continuous,0,0,1,0-0.1,High,Low,"jazzy, vibey","Start of note",IL-MAN-03
Chorus_Mix,continuous,0,0,1,0.1-0.5,High,Med,"vibey, jazzy","Stereo width",IL-MAN-03
RingMod_Amt,continuous,0,0,1,0.1-0.4,High,Med,"psychedelic, vibey","Metallic textures",IL-MAN-03
LFO_Speed,continuous,0.2,0,1,0.1-0.4,Med,High,"psychedelic","Modulation rate",IL-MAN-03
