Parameter,Type,Range/Values,Default,Description,Primary Use
FFT Size,Discrete,512-16384 samples,2048,Controls frequency vs time resolution,Adjust based on task (large for bass detail)
Decay Time,Continuous,Fast → Slow (0-100%),Medium,How quickly spectrum fades,Slow for mastering; fast for transients
Peak Hold,Toggle,ON/OFF,OFF,Holds peak frequency levels,ON for finding resonances
Averaging,Continuous,OFF or 0-100%,Light,Smooths spectrum fluctuations,ON for reference comparison
Frequency Range,Adjustable Window,20 Hz - 20 kHz,Full range,Zoom into specific frequencies,Zoom to 20-500 Hz for bass analysis
Amplitude Range,Continuous,40-120 dB,60-90 dB,Vertical dB scale shown,Adjust for visibility of content
Display Mode,Selection,Vectorscope/Oscilloscope,Vectorscope,Bottom display type,Vectorscope for stereo analysis
Color Scheme,Selection,Various palettes,Standard,Color palette for amplitude,Choose for visibility preference
Brightness,Continuous,Low → High,Medium,Overall display brightness,Adjust for monitor/lighting
Contrast,Continuous,Low → High,Medium,Spectrum contrast level,Higher = easier to spot peaks
Update Rate,Continuous,Low → High,Real-time,Display refresh frequency,Lower for CPU savings
Frequency Resolution,Calculated,Depends on FFT,~21 Hz (2048 FFT),Frequency detail level,Larger FFT = finer resolution
Time Resolution,Calculated,Depends on FFT,~46 ms (2048 FFT),Temporal response speed,Smaller FFT = faster response
