parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Master_Vol,continuous,0.8,0,1,0.7-1,High,Low,"all","Global gain",IL-MAN-04
Master_Pitch,continuous,0,-1200,1200,-1200-1200,High,Med,"upbeat, moody","Global semitone shift",IL-MAN-04
Slice_Cut_Group,stepped,0,0,127,N/A,High,Low,"upbeat","Self-choke group",IL-MAN-04
Slice_Out_Offset,stepped,0,0,10,N/A,High,Low,"all","Mixer routing",IL-MAN-04
Artic_Filter_Cutoff,continuous,1,0,1,0.2-0.8,High,High,"moody, psychedelic","Articulator filter",IL-MAN-04
Artic_Vol_Attack,continuous,0,0,1,0-0.1,High,Low,"jazzy, vibey","Slice fade-in",IL-MAN-04
Artic_Vol_Release,continuous,0.1,0,1,0-0.5,High,Low,"vibey, moody","Slice fade-out",IL-MAN-04
Artic_LFO_Speed,continuous,0.2,0,1,0.1-0.5,Med,High,"psychedelic","Modulation rate",IL-MAN-04
Deck_Crossfade,continuous,0.5,0,1,0-1,High,High,"vibey","Fade Deck A to B",IL-MAN-04
Artic_Pan,continuous,0.5,0,1,0-1,Med,High,"vibey, psychedelic","Stereo placement",IL-MAN-04
