Parameter,Type,Range,Description,Vibe_Impact_Tags
Center,Global Knob,0-100%,Snaps note pitches to the grid,Robotic;Pop;Tight
Variation,Global Knob,0-100%,Preserves or flattens vibrato drift,Moody;Deadpan;Natural
Transition,Global Knob,0-100%,Speed of pitch glides,Rhythmic;Snap;Legato
Formant,Note Property,-12 to +12 st,Shifts vocal timbre independent of pitch,Demon;Gender;Texture
Volume,Note Handle,-Inf to +6dB,Note gain, Dynamics
Ramp In,Note Handle,0-100%,Fade in time,Smooth
Ramp Out,Note Handle,0-100%,Fade out time,Smooth
Advanced Mode,Toggle,On/Off,Reveals advanced handles,Psychedelic;Experimental
Slave Playback,Toggle,On/Off,Syncs Newtone to FL Transport,Workflow
Snap to Grid,Settings,On/Off,Quantizes time/rhythm,Rhythmic;Tight
