parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Master_Vol,continuous,0.8,0,1,0.5-1,High,Low,"all","Global output",IL-MAN-05
Master_Pitch,continuous,0,-2400,2400,-1200-1200,High,Med,"moody, upbeat","Global cents shift",IL-MAN-05
ADSR_Attack,continuous,0,0,1,0-0.2,High,Low,"moody, vibey","Start of note",IL-MAN-05
ADSR_Release,continuous,0.1,0,1,0.1-0.5,High,Low,"vibey, moody","End of note",IL-MAN-05
LFO_Freq,continuous,0.2,0,1,0.1-0.5,Med,High,"psychedelic, jazzy","Vibrato rate",IL-MAN-05
LFO_Amp,continuous,0,0,1,0.01-0.05,High,High,"psychedelic, jazzy","Vibrato depth",IL-MAN-05
Filter_Cut,continuous,1,0,1,0.2-0.8,High,High,"moody, upbeat","Global filter",IL-MAN-05
Resampling_Mode,stepped,HQ,0,3,N/A,Med,Low,"moody","Interpolation quality",IL-MAN-05
Chorus_Toggle,toggle,OFF,0,1,N/A,Med,Low,"vibey","Stereo widen",IL-MAN-05
Reverb_Toggle,toggle,OFF,0,1,N/A,Med,Low,"moody","Internal space",IL-MAN-05
