parameter,type,default,min,max,suggested_range,audible_impact,mix_impact_tags,vibe_impact_tags,automation_common,notes,source_id
Chromatic Mode,toggle,OFF,N/A,N/A,N/A,Enables chromatic playback of selected slice,Melodic | Harmony | Tonality,Moody:HIGH | Upbeat:HIGH | Psychedelic:HIGH | Jazzy:HIGH | Vibey:MED,Very Common,Critical for melodic sample instruments; OFF for rhythmic triggering,IL-MAN
Auto-Detect Threshold,slider,50%,0%,100%,30-70%,Controls slice detection sensitivity,Workflow,All:LOW (workflow only),Never,Lower = more slices detected; higher = fewer slices,IL-MAN
Pitch,knob,-24 to +24 semitones,0,-24,+24,-12 to +12,Global pitch shift for all slices,Tonality | Brightness | Energy,Moody:HIGH (-12) | Upbeat:HIGH (+5) | Psychedelic:EXTREME | Jazzy:LOW (0) | Vibey:LOW (-3),Very Common,Extreme shifts work best with Elastique Pro mode,IL-MAN
Time-Stretch Mode,dropdown,Elastique Efficient,N/A,N/A,Elastique Pro for vocals,Determines audio quality of time-stretch/pitch,Audio Quality | Artifacts | Character,Psychedelic:HIGH (Vintage) | Moody/Jazzy:HIGH (Pro),Rare,Elastique Pro = cleanest; Resample/Vintage = artifacts for lo-fi,IL-MAN
BPM,number,Project BPM,20,999,60-180,Syncs sample loop to project tempo,Timing | Groove,All:MED (technical),Never,Must match source loop BPM for correct time-stretch,IL-MAN
Attack (per-slice),envelope,0ms,0ms,500ms,Moody:80-120ms | Upbeat:0ms | Jazzy:5-10ms,Fade-in time when slice triggers,Transient | Punch | Percussiveness,Moody:CRITICAL | Upbeat:CRITICAL | Vibey:HIGH,Rare,>50ms turns percussive slices into pads,IL-MAN
Release (per-slice),envelope,200ms,0ms,2000ms,Moody:400-1000ms | Upbeat:50-100ms,Fade-out time after note-off,Sustain | Space | Tightness,Moody:CRITICAL | Upbeat:CRITICAL | Vibey:HIGH,Rare,Long release requires reverb to avoid dry cutoff,IL-MAN
Filter Cutoff (per-slice),envelope,Fully open,20Hz,20kHz,Moody:800Hz-1.5kHz | Upbeat:High-pass 300Hz,Dynamic filter envelope per slice,Brightness | Darkness | Tone Color,Moody:HIGH | Upbeat:HIGH | Psychedelic:HIGH,Common,Use resonance sparingly to avoid harshness,IL-MAN
Volume (per-slice),envelope,100%,0%,100%,Moody/Vibey:30-60% | Upbeat:90-100%,Volume envelope from start to end,Dynamics | Loudness | Balance,Moody:MED | Vibey:MED | Psychedelic:MED,Common,Automate for swell-from-silence effects,IL-MAN
Pan (per-slice),envelope,Center,100% L,100% R,Jazzy:subtle | Upbeat:hard L/R,Stereo position envelope,Width | Stereo Field | Space,Upbeat:MED | Psychedelic:HIGH | Moody:LOW,Common,Hard pan can cause mono compatibility issues,IL-MAN
Reverse (per-slice),toggle,OFF,N/A,N/A,N/A,Plays slice in reverse,Texture | Surprise | Disorientation,Moody:MED | Psychedelic:HIGH | Vibey:MED,Never,Reversed slices create natural build-up swells,IL-MAN
Solo/Mute (per-slice),toggle,N/A,N/A,N/A,N/A,Isolate or silence individual slices,Arrangement,All:LOW (workflow),Never,Use to audition slices before chromatic mapping,IL-MAN
Formant Preservation,toggle,ON (unverified),N/A,N/A,N/A,Preserves vocal formants when pitch-shifting,Vocal Quality | Naturalness,Moody:MED (OFF) | Upbeat:HIGH (ON) | Psychedelic:HIGH (OFF),Never,OFF at -12 semitones creates demonic vocals,UNVERIFIED
Slice Snap,dropdown,1/16,N/A,N/A,Upbeat:1/16 | Jazzy:OFF,Quantizes slice starts to grid,Timing | Groove | Tightness,Upbeat:MED | Jazzy:HIGH (OFF),Never,Disable for humanized manual slice placement,IL-MAN
Master Volume,knob,80%,0%,100%+,70-80%,Final output level of all slices,Loudness,All:LOW (mix decision),Common,Leave headroom to avoid clipping,IL-MAN
Min Slice Length,number,20ms (unverified),5ms,500ms,20-50ms,Prevents auto-detect from creating too-short slices,Workflow,All:LOW (workflow),Never,Shorter = more slices but potential artifacts,UNVERIFIED
Filter Resonance (per-slice),knob,0% (unverified),0%,100%,10-30%,Emphasizes filter cutoff frequency,Tone Color | Character,Psychedelic:HIGH | Moody:LOW,Common,Too much resonance sounds harsh; use sparingly,UNVERIFIED
