parameter,type,default,min,max,suggested_range,audible_impact,mix_impact_tags,vibe_impact_tags,automation_common,notes,source_id
Waveform,toggle,Saw,Saw/Pulse,N/A,Saw or Pulse,Fundamental timbre,timbre,all_vibes,Low,Saw=Rich harmonics; Pulse=Odd harmonics,IL-MAN
Range,selector,8',16'/8'/4',N/A,8' or 16',Pitch range,pitch,all_vibes,Low,16'=Deep; 8'=Standard; 4'=Bright,IL-MAN
PWM_Manual,knob,50%,0%,100%,20-80%,Pulse width timbre,timbre,all_vibes,Moderate,Narrow=Hollow; Wide=Full; Avoid extremes,IL-MAN
PWM_Source,toggle,Manual,Manual/LFO/Env,N/A,Manual/LFO/Env,PWM modulation source,timbre,all_vibes,Low,LFO=Evolving; Env=Dynamic; Manual=Static,IL-MAN
Sub_Oscillator,knob,0%,0%,100%,0-100%,Low-end weight,depth warmth,all_vibes,Low,Bass=100%; Pads=20-40%; Leads=30-50%,IL-MAN
Filter_Cutoff,knob,50%,0%,100%,20-80%,Brightness control,brightness depth,all_vibes,High,Low=Dark; High=Bright; Sweet spot 40-60%,IL-MAN
Filter_Resonance,knob,0%,0%,100%,0-50%,Character emphasis,brightness,all_vibes,Moderate,High=Self-oscillation; Medium=Character; Low=Smooth,IL-MAN
Filter_Envelope,knob,0%,-100%,+100%,-50% to +50%,Filter dynamics,brightness transient,all_vibes,High,Positive=Opens; Negative=Closes; Essential for expression,IL-MAN
Filter_LFO,knob,0%,0%,100%,0-40%,Filter wah effect,movement,all_vibes,Moderate,Low=Subtle; High=Extreme wah,IL-MAN
Keyboard_Tracking,toggle,On,On/Off,N/A,On,Consistent tone across keys,pitch,all_vibes,Low,Essential for realistic playing,IL-MAN
Gate_Env_Mode,toggle,Env,Gate/Env,N/A,Env,Amplitude control,dynamics,all_vibes,Low,Env=ADSR; Gate=On/Off; Use Env 99% of time,IL-MAN
Attack,knob,0%,0%,100%,0-40%,Note onset speed,transient,all_vibes,High,Bass=0-5%; Pads=20-40%; Leads=0-10%,IL-MAN
Decay,knob,30%,0%,100%,10-50%,Envelope fall time,dynamics,all_vibes,Moderate,Short for plucks; Medium for leads; Long for pads,IL-MAN
Sustain,knob,70%,0%,100%,0-100%,Held note level,dynamics,all_vibes,Low,0% for plucks; 70%+ for pads/leads,IL-MAN
Release,knob,30%,0%,100%,10-60%,Note fade time,dynamics,all_vibes,Moderate,Short for bass; Long for pads,IL-MAN
LFO_Rate,knob,30%,0%,100%,10-70%,Modulation speed,movement,all_vibes,Moderate,Slow=Evolving; Fast=Vibrato; Medium=Standard,IL-MAN UNVERIFIED
LFO_Delay,knob,0%,0%,100%,0-30%,LFO onset delay,movement,all_vibes,Low,Creates evolving modulation,IL-MAN
Chorus_I,toggle,Off,On/Off,N/A,On/Off,Subtle stereo width,width,all_vibes,Low,Gentle thickness; Use for bass/Jazzy,IL-MAN
Chorus_II,toggle,Off,On/Off,N/A,On/Off,Pronounced chorus,width,all_vibes,Low,Classic JUNO width; Standard setting,IL-MAN
Chorus_I_plus_II,combined,Off,On/Off,N/A,On/Off,Maximum thickness,width,all_vibes,Low,Both buttons on; Pads; Uses more CPU,IL-MAN
Arpeggiator_On,toggle,Off,On/Off,N/A,On/Off,Auto pattern generation,pitch rhythm,Upbeat Psychedelic,Moderate,Hold chord to arpeggiate,IL-MAN
Arp_Mode,selector,Up-Down,Up/Down/Up-Down,N/A,Up-Down,Pattern direction,rhythm,all_vibes,Low,Up-Down=Classic 80s; Up=Ascending; Down=Descending,IL-MAN
Arp_Range,selector,2 oct,1-4 oct,N/A,2-3 oct,Octave span,rhythm,all_vibes,Low,2 oct=Standard; 3-4 oct=Dramatic,IL-MAN UNVERIFIED
