parameter,type,default,min,max,suggested_range,audible_impact,automation_common,vibe_impact_tags,notes,source_id
Saw_Level,continuous,0.8,0,1,0.5-1,High,Low,"all","Main oscillator volume",IL-MAN-02
Sub_Level,continuous,0.5,0,1,0.8-1,High,Med,"moody, upbeat","Sub-bass weight",IL-MAN-02
Sub_Phase,continuous,0,0,1,0-0.5,Med,Low,"upbeat","Phase alignment for punch",IL-MAN-02
Noise_Level,continuous,0,0,1,0-0.1,Med,Low,"moody","Vintage texture/hiss",IL-MAN-02
Filter_Cutoff,continuous,0.5,0,1,0.1-0.7,High,High,"all","Filter shaping",IL-MAN-02
Filter_Resonance,continuous,0.1,0,1,0.2-0.6,High,Med,"upbeat, psychedelic","Polivoks grit",IL-MAN-02
Filter_Env_Amt,continuous,0,0,1,0.3-0.7,High,Med,"upbeat","Filter snap",IL-MAN-02
Unison_Voices,stepped,1,1,8,2-8,High,Low,"vibey","Thickness and width",IL-MAN-02
Unison_Detune,continuous,0.1,0,1,0.05-0.2,High,Med,"vibey, psychedelic","Analog drift",IL-MAN-02
LFO_Speed,continuous,0.2,0,1,0.1-0.5,High,High,"psychedelic, vibey","Modulation rate",IL-MAN-02
Glide_Time,continuous,0,0,1,0.05-0.2,Med,Low,"upbeat, moody","Portamento",IL-MAN-02
Reverb_Mix,continuous,0,0,1,0.1-0.3,High,Med,"vibey, moody","Space",IL-MAN-02
