parameter,type,default,min,max,suggested_range,audible_impact,mix_impact_tags,vibe_impact_tags,automation_common,notes,source_id
SPD (Speed),continuous_knob,100%,-200%,200%,50-150%,Direct control over playback rate and pitch,"pitch,tempo,transient,energy","moody (slow),upbeat (fast),psychedelic (extreme)",Very High (5/5),"Negative values reverse playback; 0% stops playback; links speed and pitch together (analog vinyl behavior)",IL-MAN
ACC (Acceleration),continuous_knob,50%,0%,100%,20-90%,Controls rate of speed change (motor torque simulation),"transient,punch (high),smoothness (low)","upbeat (high 80-95%),moody (low 20-40%),vibey (medium 35-50%)",Low (2/5),"0% = infinite deceleration; 100% = instant response; simulates turntable motor physics",IL-MAN
SEN (Sensitivity),continuous_knob,50%,0%,100%,40-70%,Affects control responsiveness only (no direct sound impact),N/A (performance control),"jazzy (medium 50-60%),psychedelic (high 60-70% for chaos)",Very Low (1/5),"Scales mouse/MIDI input; high-DPI mouse users need lower values (30-45%); adjust to match controller feel",IL-MAN
Platter Position,visual_interface,center,N/A,N/A,N/A,Direct sample position control (manual scratching),transient (click points),"upbeat (rapid movement),jazzy (swung timing)",Very High (5/5),"Click/drag to scratch; displays waveform; can be MIDI-mapped for hardware control",IL-MAN
Hold Button,toggle_button,OFF,OFF,ON,N/A,Pauses playback at current position (freeze effect),N/A (transport control),"moody (freeze moments),psychedelic (stutter)",Medium (3/5),"Use for pause-and-scratch techniques; OFF = normal platter interaction; ON = platter frozen",IL-MAN
REV (Reverse),toggle_button,OFF,OFF,ON,N/A,Reverses playback direction,pitch (reverse timbre),"moody (reverse swell),psychedelic (reverse glitch),vibey (reverse texture)",Medium (3/5),"Equivalent to negative SPD values; use for backspin DJ technique; combine with scratching",IL-MAN
Play Button,toggle_button,OFF,OFF,ON,N/A,Starts/stops playback,N/A (transport control),N/A (utility),Low (2/5),"Standard transport control; use for non-scratch playback",IL-MAN
Sample Load,file_browser,none,N/A,N/A,N/A,Loads audio sample for scratching,N/A (source selection),All vibes (sample selection critical),N/A,"Supports WAV and other audio formats; sample length affects performance (1-10 sec ideal)",IL-MAN
Waveform Display,visual_element,N/A,N/A,N/A,N/A,Shows sample waveform for visual scratching feedback,N/A (visual reference),All vibes (precision control),N/A,"Click on waveform to jump to position; peaks show transients; essential for precise scratching",IL-MAN
Volume (Channel),continuous_fader,0dB,-INF,+6dB,-6 to 0dB,Overall output level of Scratcher channel,loudness,"upbeat (louder for energy),moody (quieter for space)",Medium (3/5),"Not a Scratcher parameter but critical for mix; reduce to -3 to -6 dB to prevent clipping during scratches",FL-STUDIO
Pitch (linked to SPD),derived,100%,-200%,200%,80-120%,Pitch shifts proportionally with SPD (analog behavior),pitch (key change),"moody (pitch down),upbeat (pitch up),psychedelic (wild pitch)",Derived from SPD,"Cannot be controlled independently of SPD; use Pitcher for independent pitch/time control",IL-MAN
DVS Timecode Input,routing,none,N/A,N/A,N/A,Routes external timecode vinyl signal to Scratcher,N/A (DVS control),All vibes (live performance),N/A,"Supports Serato CV02 timecode; requires audio interface routing; advanced DJ setup",IL-MAN
